word,metaphone,translation
a,A,to
adherir,ADERR,adhere
adecuado,ADKD,suitable
adquirir,ADKRR,acquire
adquisición,ADKSZN,acquisition
adelante,ADLNT,forward
adelantar,ADLNTR,advance
adolescencia,ADLSZN,adolescence
adolescente,ADLSZN,teenager
adulto,ADLT,adult
ademán,ADMN,gesture
administración,ADMNST,administration
administrador,ADMNST,administrator
administrar,ADMNST,manage
administrativo,ADMNST,administrative
admirar,ADMRR,admire
admirable,ADMRVL,admirable
admiración,ADMRZN,admiration
además,ADMS,besides
admitir,ADMTR,admit
adónde,ADND,where
adentro,ADNTR,inside
audiencia,ADNZ,audience
adaptar,ADPTR,adapt
adoptar,ADPTR,adopt
adaptación,ADPTZN,adaptation
adopción,ADPZN,adoption
adorno,ADRN,ornament
adornar,ADRNR,decorate
adorar,ADRR,adore
adivinar,ADVNR,guess
adversario,ADVRSR,adversary
advertencia,ADVRTN,warning
advertir,ADVRTR,warn
adicional,ADZNL,additional
afecto,AFKT,affection
afectar,AFKTR,affect
aflojar,AFLJR,loosen
afilar,AFLR,sharpen
afán,AFN,eagerness
afuera,AFR,outside
africano,AFRKN,African
afirmar,AFRMR,affirm
afrontar,AFRNTR,face
afortunadamente,AFRTND,fortunately
afición,AFZN,hobby
aficionado,AFZND,fan
agua,AG,water
agudo,AGD,sharp
aguja,AGJ,needle
agujero,AGJR,hole
aguantar,AGNTR,endure
agradar,AGRDR,please
aguardar,AGRDR,wait
agradable,AGRDVL,pleasant
agradecido,AGRDZD,grateful
agradecer,AGRDZR,thank
agregar,AGRGR,add
agrícola,AGRKL,agricultural
agricultor,AGRKLT,farmer
agricultura,AGRKLT,agriculture
agrupar,AGRPR,group
agrario,AGRR,agrarian
agarrar,AGRRR,grab
agresión,AGRSN,aggression
agresivo,AGRSV,aggressive
agosto,AGST,August
agotar,AGTR,exhaust
ahí,AI,there
auge,AJ,boom
ajedrez,AJDRZ,chess
ajeno,AJN,foreign
agenda,AJND,agenda
agente,AJNT,agent
agencia,AJNZ,agency
ajuste,AJST,adjustment
ajustar,AJSTR,adjust
agitar,AJTR,shake
acá,AK,here
aquí,AK,here
academia,AKDM,academy
académico,AKDMK,academic
acudir,AKDR,attend
acoger,AKJR,welcome
aquel,AKL,that
aclarar,AKLRR,clarify
acomodar,AKMDR,accommodate
acumular,AKMLR,accumulate
acumulación,AKMLZN,accumulation
acompañar,AKMPNY,accompany
aconsejar,AKNSJR,advise
acontecimiento,AKNTZM,event
acontecer,AKNTZR,happen
acuerdo,AKRD,agreement
acordar,AKRDR,agree
acariciar,AKRZR,caress
acaso,AKS,perhaps
acusado,AKSD,accused
acusar,AKSR,accuse
acostumbrar,AKSTMV,accustom
acostar,AKSTR,lay
acusación,AKSZN,accusation
acta,AKT,record
acto,AKT,act
actual,AKTL,current
actualidad,AKTLDD,present
actualmente,AKTLMN,currently
actualizar,AKTLZR,update
actor,AKTR,actor
actuar,AKTR,act
actriz,AKTRZ,actress
actitud,AKTTD,attitude
activo,AKTV,active
actividad,AKTVDD,activity
activar,AKTVR,activate
actuación,AKTZN,performance
aquella,AKY,that
aquello,AKY,that
ala,AL,wing
aula,AL,classroom
aldea,ALD,village
aliado,ALD,ally
aludir,ALDR,allude
alfombra,ALFMVR,carpet
algo,ALG,something
algodón,ALGDN,cotton
alguien,ALGN,someone
alguno,ALGN,some
alegre,ALGR,cheerful
alegría,ALGR,joy
alegrar,ALGRR,gladden
alejar,ALJR,distance
alojar,ALJR,lodge
alcalde,ALKLD,mayor
alquilar,ALKLR,rent
alquiler,ALKLR,rent
alcance,ALKNZ,reach
alcanzar,ALKNZR,reach
alcohol,ALKOL,alcohol
alma,ALM,soul
almohada,ALMAD,pillow
alemán,ALMN,German
alumno,ALMN,student
alimento,ALMNT,food
alimentar,ALMNTR,feed
alimentación,ALMNTZ,feeding
almuerzo,ALMRZ,lunch
almorzar,ALMRZR,lunch
alambre,ALMVR,wire
almacén,ALMZN,warehouse
almacenar,ALMZNR,store
aliento,ALNT,breath
alentar,ALNTR,encourage
alianza,ALNZ,alliance
alrededor,ALRDDR,around
alarma,ALRM,alarm
alarmar,ALRMR,alarm
alusión,ALSN,allusion
altar,ALTR,altar
altura,ALTR,height
alternar,ALTRNR,alternate
alternativa,ALTRNT,alternative
alternativo,ALTRNT,alternative
alterar,ALTRR,alter
alteración,ALTRZN,alteration
alba,ALV,dawn
alivio,ALV,relief
aliviar,ALVR,relieve
albergar,ALVRGR,host
ama,AM,housekeeper
amo,AM,master
amiga,AMG,friend
amigo,AMG,friend
amante,AMNT,lover
aumento,AMNT,increase
amontonar,AMNTNR,pile
amenaza,AMNZ,threat
amanecer,AMNZR,dawn
amenazar,AMNZR,threaten
amplio,AMPL,wide
ampliar,AMPLR,widen
ampliación,AMPLZN,expansion
amparo,AMPR,shelter
amar,AMR,love
amargo,AMRG,bitter
amargura,AMRGR,bitterness
americano,AMRKN,American
amarrar,AMRRR,tie
amarillo,AMRY,yellow
amistad,AMSTD,friendship
amable,AMVL,kind
